file	start_line	start_col	kind	rule	expr	claimed_dst_file	claimed_dst_line	n_overload	verdict	correct_dst_file	correct_dst_line	note	verdict	correct_dst_file	correct_dst_line	note
targets/FluentValidation/src/FluentValidation/Internal/CollectionPropertyRule.cs	174	7	call	規則2 閉世界で候補が一意	PrepareMessageFormatterForValidationError	targets/FluentValidation/src/FluentValidation/Internal/RuleBase.cs	295	1	正				正			
targets/FluentValidation/src/FluentValidation/Internal/CollectionPropertyRule.cs	175	21	call	規則2 閉世界で候補が一意	CreateValidationError	targets/FluentValidation/src/FluentValidation/Internal/RuleBase.cs	320	1	正				正			
targets/FluentValidation/src/FluentValidation/Internal/PropertyRule.cs	125	5	call	規則2 閉世界で候補が一意	PrepareMessageFormatterForValidationError	targets/FluentValidation/src/FluentValidation/Internal/RuleBase.cs	295	1	正				正			
targets/FluentValidation/src/FluentValidation/Internal/PropertyRule.cs	126	19	call	規則2 閉世界で候補が一意	CreateValidationError	targets/FluentValidation/src/FluentValidation/Internal/RuleBase.cs	320	1	正				正			
targets/FluentValidation/src/FluentValidation/Internal/IncludeRule.cs	70	9	call	規則3 this./base. 経由	base.ValidateAsync	targets/FluentValidation/src/FluentValidation/Internal/IncludeRule.cs	56	1	誤	targets/FluentValidation/src/FluentValidation/Internal/PropertyRule.cs	52	base. なのに自分自身(override 側)を指している。正解は基底 PropertyRule<T,T>.ValidateAsync	誤	targets/FluentValidation/src/FluentValidation/Internal/PropertyRule.cs	52	base. なのに自分自身(override 側)を指している。正解は基底 PropertyRule<T,T>.ValidateAsync
targets/FluentValidation/src/FluentValidation/ValidationException.cs	92	3	call	規則3 this./base. 経由	base.GetObjectData	targets/FluentValidation/src/FluentValidation/ValidationException.cs	88	1	誤			base. なのに自分自身を指している。基底は System.Exception なので正解は external(解決不能)	誤			base. なのに自分自身を指している。基底は System.Exception なので正解は external(解決不能)
targets/FluentValidation/src/FluentValidation/AbstractValidator.cs	147	5	call	規則A 同一 container(this. 省略)	RaiseValidationException	targets/FluentValidation/src/FluentValidation/AbstractValidator.cs	389	1	正				正			
targets/FluentValidation/src/FluentValidation/AbstractValidator.cs	282	10	call	規則A 同一 container(this. 省略)	Unless	targets/FluentValidation/src/FluentValidation/AbstractValidator.cs	290	2	正				正			
targets/FluentValidation/src/FluentValidation/AssemblyScanner.cs	110	10	call	規則A 同一 container(this. 省略)	GetEnumerator	targets/FluentValidation/src/FluentValidation/AssemblyScanner.cs	109	2	誤	targets/FluentValidation/src/FluentValidation/AssemblyScanner.cs	105	明示的インタフェース実装から公開オーバーロードを呼んでいる。自分自身を指しており偽の自己再帰になる	誤	targets/FluentValidation/src/FluentValidation/AssemblyScanner.cs	105	明示的インタフェース実装から公開オーバーロードを呼んでいる。自分自身を指しており偽の自己再帰になる
targets/FluentValidation/src/FluentValidation/DefaultValidatorExtensions.cs	338	35	call	規則A 同一 container(this. 省略)	GetDisplayName	targets/FluentValidation/src/FluentValidation/DefaultValidatorExtensions.cs	1249	1	正				正			
targets/FluentValidation/src/FluentValidation/DefaultValidatorExtensions.cs	689	14	call	規則A 同一 container(this. 省略)	GetDisplayName	targets/FluentValidation/src/FluentValidation/DefaultValidatorExtensions.cs	1249	1	正				正			
targets/FluentValidation/src/FluentValidation/DefaultValidatorExtensions.cs	782	14	call	規則A 同一 container(this. 省略)	GetDisplayName	targets/FluentValidation/src/FluentValidation/DefaultValidatorExtensions.cs	1249	1	正				正			
targets/FluentValidation/src/FluentValidation/DefaultValidatorExtensions.cs	923	14	call	規則A 同一 container(this. 省略)	GetDisplayName	targets/FluentValidation/src/FluentValidation/DefaultValidatorExtensions.cs	1249	1	正				正			
targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	147	3	call	規則A 同一 container(this. 省略)	Configurable	targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	78	2	誤	targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	70	rule は IRuleBuilderOptions<T,TProperty> なので IRuleBuilder 版が正しい	誤	targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	70	rule は IRuleBuilderOptions<T,TProperty> なので IRuleBuilder 版が正しい
targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	402	3	call	規則A 同一 container(this. 省略)	Configurable	targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	78	2	正				正			
targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	414	3	call	規則A 同一 container(this. 省略)	Configurable	targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	78	2	誤	targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	70	同上	誤	targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	70	同上
targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	583	3	call	規則A 同一 container(this. 省略)	Configurable	targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	78	2	誤	targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	70	同上	誤	targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	70	同上
targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	596	3	call	規則A 同一 container(this. 省略)	Configurable	targets/FluentValidation/src/FluentValidation/DefaultValidatorOptions.cs	78	2	正				正			
targets/FluentValidation/src/FluentValidation/Internal/MessageFormatter.cs	68	10	call	規則A 同一 container(this. 省略)	AppendArgument	targets/FluentValidation/src/FluentValidation/Internal/MessageFormatter.cs	48	1	正				正			
targets/FluentValidation/src/FluentValidation/Internal/PropertyChain.cs	148	6	call	規則A 同一 container(this. 省略)	BuildPropertyPath	targets/FluentValidation/src/FluentValidation/Internal/PropertyChain.cs	153	1	正				正			
targets/FluentValidation/src/FluentValidation/Internal/ValidationStrategy.cs	154	51	call	規則A 同一 container(this. 省略)	GetSelector	targets/FluentValidation/src/FluentValidation/Internal/ValidationStrategy.cs	126	1	正				正			
targets/FluentValidation/src/FluentValidation/ValidationException.cs	61	46	call	規則A 同一 container(this. 省略)	BuildErrorMessage	targets/FluentValidation/src/FluentValidation/ValidationException.cs	73	1	正				正			
targets/FluentValidation/src/FluentValidation/Validators/AbstractComparisonValidator.cs	78	36	call	規則A 同一 container(this. 省略)	IsValid	targets/FluentValidation/src/FluentValidation/Validators/AbstractComparisonValidator.cs	105	2	正				正			
targets/FluentValidation/src/FluentValidation/Validators/ChildValidatorAdaptor.cs	49	20	call	規則A 同一 container(this. 省略)	CreateNewValidationContextForChildValidator	targets/FluentValidation/src/FluentValidation/Validators/ChildValidatorAdaptor.cs	93	1	正				正			
targets/FluentValidation/src/FluentValidation/Validators/NotEmptyValidator.cs	44	33	call	規則A 同一 container(this. 省略)	IsEmpty	targets/FluentValidation/src/FluentValidation/Validators/NotEmptyValidator.cs	55	1	正				正			
targets/FluentValidation/src/FluentValidation/Validators/PrecisionScaleValidator.cs	101	14	call	規則A 同一 container(this. 省略)	GetMantissa	targets/FluentValidation/src/FluentValidation/Validators/PrecisionScaleValidator.cs	124	1	正				正			
targets/FluentValidation/src/FluentValidation/DefaultValidatorExtensions.cs	149	6	call	規則B レシーバの宣言型	ruleBuilder.SetValidator	targets/FluentValidation/src/FluentValidation/Syntax.cs	73	4	誤	targets/FluentValidation/src/FluentValidation/Syntax.cs	44	実引数は validator インスタンスなので SetValidator(IPropertyValidator<T,TProperty>) が正しい。Func 版を選んでいる	誤	targets/FluentValidation/src/FluentValidation/Syntax.cs	44	実引数は validator インスタンスなので SetValidator(IPropertyValidator<T,TProperty>) が正しい。Func 版を選んでいる
targets/FluentValidation/src/FluentValidation/DefaultValidatorExtensions.cs	339	10	call	規則B レシーバの宣言型	ruleBuilder.SetValidator	targets/FluentValidation/src/FluentValidation/Syntax.cs	73	4	誤	targets/FluentValidation/src/FluentValidation/Syntax.cs	44	実引数は validator インスタンスなので SetValidator(IPropertyValidator<T,TProperty>) が正しい。Func 版を選んでいる	誤	targets/FluentValidation/src/FluentValidation/Syntax.cs	44	実引数は validator インスタンスなので SetValidator(IPropertyValidator<T,TProperty>) が正しい。Func 版を選んでいる
